 (NOBRIDGE) LOG  0.22765198349952698,0.08173999935388565,0.9649590253829956,0,0,0,3367327.782949304
 (NOBRIDGE) LOG  0.22667601704597473,0.07930000126361847,0.9678869843482971,4.70071846747625,-13.239112762586625,-20.689285033750604,3367327.887389795
 (NOBRIDGE) LOG  0.22716400027275085,0.08411899954080582,0.968375027179718,4.693776433958578,-13.245387998886574,-20.695580760618064,3367327.99408645
 (NOBRIDGE) LOG  0.23051899671554565,0.07930000126361847,0.9678869843482971,4.67561581472916,-13.221326949987912,-20.681510570927838,3367328.096238977
 (NOBRIDGE) LOG  0.2252119928598404,0.07637199759483337,0.968375027179718,4.670037257724553,-13.206921227254709,-20.67237177781836,3367328.198399927
 (NOBRIDGE) LOG  0.22807900607585907,0.07246799767017365,0.9669719338417053,4.703288326151467,-13.266660623056579,-20.62709616135764,3367328.300556421
 (NOBRIDGE) LOG  0.23485000431537628,0.0743589997291565,0.9771590232849121,4.852457096303607,-13.610742501553373,-20.512984190894233,3367328.402714929
 (NOBRIDGE) LOG  0.24223099648952484,0.095830999314785,0.9770370125770569,5.076941935546654,-14.218808630150221,-20.41191446665097,3367328.504870874
 (NOBRIDGE) LOG  0.2845039963722229,0.14548499882221222,0.9451339840888977,5.517657757307611,-15.575184307798141,-19.870797852298587,3367328.607027429
 (NOBRIDGE) LOG  0.3333039879798889,0.06423300504684448,0.8500349521636963,6.398663794666869,-17.112912606967303,-18.728984883463802,3367328.715994531
 (NOBRIDGE) LOG  0.28767600655555725,0.07039399445056915,1.0014370679855347,8.310794889605802,-17.535390542983855,-19.583994793955167,3367328.818151514
 (NOBRIDGE) LOG  0.28139299154281616,0.12852700054645538,0.876630961894989,10.622717447233093,-18.058256891873963,-20.345190348649115,3367328.920307519
 (NOBRIDGE) LOG  0.3130519986152649,0.21740399301052094,1.012477993965149,15.24609384075588,-18.628316432834275,-18.956232107339297,3367329.022467676
 (NOBRIDGE) LOG  0.23009200394153595,0.4294400215148926,0.8948699831962585,22.261478467471647,-19.750586522906364,-17.556815138862895,3367329.124621606
 (NOBRIDGE) LOG  0.5140469670295715,0.7010120153427124,0.721996009349823,31.005080246666356,-26.20154480717979,-16.999637334677224,3367329.226778589
 (NOBRIDGE) LOG  0.3324500024318695,0.5893210172653198,0.6628869771957397,37.95277940625459,-28.82734956188866,-15.026868674060566,3367329.328939844
 (NOBRIDGE) LOG  0.3911319971084595,0.6517239809036255,0.5871250033378601,44.42920234330112,-30.71461620692781,-13.043743739114873,3367329.428822595
 (NOBRIDGE) LOG  0.3029260039329529,0.9018239378929138,0.4274880290031433,52.93417097327392,-34.82163969070774,-10.495603357910923,3367329.533250269
 (NOBRIDGE) LOG  0.25729799270629883,0.8475950360298157,0.23503299057483673,62.54732072060837,-36.64190559508365,-9.279713572432764,3367329.635406762
 (NOBRIDGE) LOG  0.17421600222587585,0.8083720207214355,0.1589049994945526,74.11600826883083,-38.250288786122006,-6.918619629196906,3367329.737563012
 (NOBRIDGE) LOG  0.1080310046672821,0.9872849583625793,0.06526999920606613,80.96853898761869,-44.76589993353148,-0.014630438624939207,3367329.839719995
 (NOBRIDGE) LOG  -0.008479000069200993,1.0215669870376587,0.009332999587059021,83.20955820524571,-58.77476818538938,13.17079208786628,3367329.941876977
 (NOBRIDGE) LOG  0.06325700134038925,1.030716896057129,0.05105699971318245,84.79703760232925,-74.70160136751103,26.436875559937995,3367330.044034021
 (NOBRIDGE) LOG  0.15658700466156006,0.9454389810562134,0.00750300008803606,84.35649040086344,-51.580745083573795,-0.798304826228274,3367330.14619198
 (NOBRIDGE) LOG  0.022447999566793442,0.9814899563789368,0.1063230037689209,84.65104230882024,-39.973272306149426,-11.56893514257987,3367330.248347986
